,ticker,year,month,Stock Price on day of recommendation,Stock Price after 4 weeks,Rating_Category,Value,transaction_type_category,percentage_of_market_cap
10078,PNW,2014,11,49.9310493469238,51.0138969421386,1.0,-608040,0.0,7.538312524735931e-05
10079,PNW,2014,12,52.353401184082,56.1473655700683,1.0,-911303,0.0,0.00011298067100268155
10080,PNW,2015,3,52.4298667907714,51.2812919616699,1.0,-261713,0.0,3.244806233160921e-05
10081,PNW,2015,6,46.84769821166988,49.3448249816894,1.0,-284100,0.0,3.5221921961570795e-05
10082,PNW,2016,2,57.51358604431145,60.8264942169189,1.0,-205020,0.0,2.541780514101107e-05
10083,PNW,2016,9,66.09862518310544,63.4952030181884,1.0,-340446,0.0,4.220756719722824e-05
10084,PNW,2017,3,71.8055725097656,72.8495025634765,1.0,-7203955,0.0,0.0008931262064964696
10085,PNW,2017,8,78.5835342407226,79.0869903564453,0.0,-3713068,0.0,0.0004603357779090313
10086,PNW,2017,11,79.9375534057617,81.2106399536132,0.0,-1805232,0.0,0.00022380761260062726
10087,PNW,2017,12,79.5013122558593,71.7292556762695,0.0,-400815,0.0,4.969192063015486e-05
10088,PNW,2018,1,73.9994430541992,71.8063659667968,0.0,-1918149,0.0,0.0002378067830642
10089,PNW,2018,3,68.2317428588867,72.1207122802734,1.0,-3544604,0.0,0.0004394641620699587
10090,PNW,2018,5,71.7890357971191,69.42473983764646,1.0,-753377,0.0,9.340152985085285e-05
10091,PNW,2018,9,73.33605194091793,76.19309234619136,1.0,-190011,0.0,2.3557071048416247e-05
10092,PNW,2018,11,81.92919921875,81.5143356323242,1.0,-1701223,0.0,0.00021091055975485786
10093,PNW,2019,2,87.0971374511718,89.6910858154296,1.0,-3462224,0.0,0.0004292367672590175
10094,PNW,2019,3,86.2603683471679,88.8636245727539,1.0,-669839,0.0,8.304465325422491e-05
10095,PNW,2019,11,82.2921981811523,82.1112060546875,0.0,-150833,0.0,1.8699790722522447e-05
10096,PNW,2020,2,91.42328643798825,67.47165489196775,1.0,-2395961,0.0,0.0002970547074280646
10097,PNW,2020,3,71.16066055297847,76.1401443481445,0.8,-468462,0.0,5.8078628461483045e-05
10098,POOL,2012,2,33.5114059448242,32.5567283630371,1.0,-3303427,0.0,0.00021561749923810675
10099,POOL,2012,5,32.7555809020996,34.6470603942871,1.0,-149602,0.0,9.763532476935431e-06
10100,POOL,2012,7,35.9558486938476,33.246971130371,1.0,-337525,0.0,2.2030479006417604e-05
10101,POOL,2013,7,48.6368255615234,49.3123970031738,1.0,-3215085,0.0,0.00020984089873303267
10102,POOL,2013,11,50.1892166137695,50.6169738769531,1.0,-3088887,0.0,0.00020161723413748652
10103,POOL,2015,10,70.6681823730468,75.8240356445312,1.0,-7246929,0.0,0.0004729960987203534
10104,POOL,2016,2,76.2861328125,77.0500183105468,1.0,-1467311,0.0,9.576516981005072e-05
10105,POOL,2016,7,91.2304916381836,95.4091720581054,1.0,-7039290,0.0,0.00045944691266827827
10106,POOL,2016,8,96.3138580322265,89.0765228271484,1.0,-204625,0.0,1.3355335916165925e-05
10107,POOL,2017,2,111.420402526855,115.870658874511,1.0,-3567593,0.0,0.00023284612406511656
10108,POOL,2017,10,116.469810485839,116.365463256835,1.0,-7593037,0.0,0.0004955775489705
10109,POOL,2019,2,155.285858154296,153.264007568359,1.0,-9701663,0.0,0.0006332222893782
10110,POOL,2019,8,190.729629516601,193.413742065429,1.0,-12202765,0.125,0.0008086812294733892
